Positivos,Negativos
"""Loja de confiança""","""Fiz a solicitação com antecedência de inclusão de peças de um pedido em outro, No atendimento fui respondido que seria feito, e mesmo eu tendo pagado dois fretes e os pedidos terem sido feitos no mesmo dia com pagamento por boleto, os pedidos foram enviados muito atrasados e a inclusão de peças não foi feita. Eu solicitei acompanhamento, não era respondido e quando respondiam eram com dias de atraso, a nota fiscal só foi enviada por depois do protudo ter sido entregue e eu esperava um atendimento melhor para com um cliente que fez uma compra com valor de 15 mil reais. Péssimo atendimento e organização. Não recomendo!"""
"""Boa loja e ótimos preços. ""","""Comprei um computador e me arrependi. Veio com uma fonte de péssima qualidade e agora estou usando os ""créditos"" que me deram para adquirir outro produto. Estou muito insatisfeita."""
"""Não tenho reclamar""","""pouca diversidade de produtos """
"""Pichau apesar de vários problemas ainda é uma das melhores lojas de informática que conheço, com preços variáveis entre bons e caros, sempre é uma boa opção para compras ou orçamentos como bases de comparação. ""","""A caixa do produto veio MUITO arregaçada: descolada, amassada, furada e meio aberta, e o produto estava cheio de manchas de poeira com gotas no plástico abs, tive que passar bastante pano pra sair. Por sorte, mesmo com os parafusos caídos dentro (não sei como não escapuliram), não faltou nada. """
"""Descrição dos itens muito detalhada e satisfatória, fácil navegação e opção de montagem de maquina muito boa de se utilizar. Formas de pagamento diversificadas e já incluindo PIX.""","""Os preços dos fretes ainda estão muito caros"""
"""Excelente loja, bons preços, qualidade muito boa, produtos de qualidade ótima.""","""Estou com uma compra (frete sedex) desde o dia 22/01/2021 (detalhe que tinha feito uma compra no dia 25/01 e chegou primeiro, sem falar das compras que fiz via Mercado Livre pelo PAC entre outros lugares por transportadora que também ja chegaram) que só chegou ontem dia 10/02/2021 faltando um produto. Gosto muito do site pelo preço, mas muitos que conheço reclamam no atraso de envio também. Deixa a desejar no atendimento e feed de solução de tickets."""
"""Preços baixos e fácil navegação no site.""","""Seria bom se as empresas de transporte fornecesse um código. De rastreio e um rastreamento fidedigno. """
"""Rápido e prático para comprar no site, aguardando a entrega ""","""Comprei um produto uma vez e veio com defeito, consegui devolver mas o suporte foi bem arrogante."""
"""Fácil e rápido de comprar ""","""se depender do atendimento, seja por chat, telefone, eles não venderiam nada....é pessimo...ficamos esperando ate cansar"""
"""Fui muito bem atendido pela central de dúvidas antes de fazer a compra da minha placa mãe e processador novo. Me ajudaram do início ao fim por que sou meio leigo no assunto e a paciência foi crucial nesse aspecto. Muito obrigado Pichau Informática.. Agora por favor manda meus itens o mais rápido possível heheheheheheh...""","""Não ganho cupom de desconto."""
