review,link
"Data da entrega fora do informado
Comprei uma cadeira Gamer no valor de R$1.400 (com frete) na pichau no débito a vista, selecionei um modo mais caro na...
Respondida | Há 4 dias | Cariacica",https://www.reclameaqui.com.br/pichau-informatica/data-da-entrega-fora-do-informado_C30HO3aZqw_8OmBF/
"Troca por peça com características inferiores
O meu PC foi para a garantia e foi confirmada defeito na placa de video... a placa era uma Red Dragon Rx 590 8gb e foi...
Resolvido | Há 4 dias | Cotia",https://www.reclameaqui.com.br/pichau-informatica/troca-por-peca-com-caracteristicas-inferiores_CBdtskE70V4aG3Pg/
"Não entregam meu pedido
Pedido 1002561100..Hoje faz 1 mês que comprei um computador e adivinha o que aconteceu?? Ainda não recebi meu pe...
Em réplica | Há 4 dias | Vila Velha",https://www.reclameaqui.com.br/pichau-informatica/nao-entregam-meu-pedido_7Ks7e14h95MgOsg5/
"Não postaram meu PC
Fiz uma compra no dia 05/04 mas só constou dia 06/04. No pedido, pedi que não montassem o PC pois viria mais rápido. E...
Em réplica | Há 4 dias | Aracaju",https://www.reclameaqui.com.br/pichau-informatica/nao-postaram-meu-pc_XoQkT2tkOhOzyjkq/
"Incrível
ONTEM EFETUEI UMA COMPRA NA PICHAU, E ESCOLHI A FORMA DE PAGAMENTO BOLETO+CARTÃO DE CRÉDITO. NA HORA FOI CREDITADO NO ...
Respondida | Há 4 dias | São Paulo",https://www.reclameaqui.com.br/pichau-informatica/incrivel_L5WYiRHzkQc2pfil/
"RECEBI 1 PEÇA SENDO QUE COMPREI 2
realizei a compra de 2 gabinete gamer iguais pelo submarino , fornecedor Pichau E ENTREGUE PELA PICHAU, recebi um gabi...
Respondida | Há 4 dias | São Paulo",https://www.reclameaqui.com.br/pichau-informatica/recebi-1-peca-sendo-que-comprei-2_x79hoQ0448AkA8e8/
"Venda de produto sem estoque
No dia 26/03/21 efetuei o pedido de uma Placa de video Placa de Video Gigabyte GeForce RTX 3070 Aorus Master 8GB GDDR6...
Em réplica | Há 4 dias | Rio de Janeiro",https://www.reclameaqui.com.br/pichau-informatica/venda-de-produto-sem-estoque_u2ydOnuknmT_NwOk/
"Vendem e não entregam
Comprei uma placa de vídeo no dia 30/03/2021 e optei pagar por boleto tendo em vista o desconto oferecido, hoje 08/04/...
Em réplica | Há 4 dias | Ubajara",https://www.reclameaqui.com.br/pichau-informatica/vendem-e-nao-entregam_6FRbXyPPSgB4SP2Z/
"Solicitei a Devolução de um produto, porém nada de resposta!
Comprei um kit upgrade e mais alguns componentes, e não foi o que eu esperava. Resolvi então solicitar a troca, isso f...
Respondida | Há 4 dias | Ivolândia",https://www.reclameaqui.com.br/pichau-informatica/solicitei-a-devolucao-de-um-produto-porem-nada-de-resposta_jK9Arxgti896LKIK/
"Mudaram errado minhas peças.
Comprei um PC, no ato da compra pedi a adição de um pente de memoria ram 8hb 2666, me custou 400 reais. No mesmo dia o...
Respondida | Há 5 dias | Brasília",https://www.reclameaqui.com.br/pichau-informatica/mudaram-errado-minhas-pecas_qQUbPsvbof3BbFye/
